case_id,interval_index,start_s,end_s,A_K,B_K_s,D_J,residual_J,relative_residual,conditional_C_fluid_J_K
project_flow__integral_enthalpy,9,123.14814814814815,150.92592592592592,0.18691588785054591,3940.822429906542,44369352.6996101,-129702.51377449185,-0.0029232455711627188,-14874.20116149381
project_flow__integral_enthalpy,10,150.92592592592592,187.96296296296296,0.0,5240.584285219802,59045860.95246962,-38913.38254955411,-0.0006590365848146134,
energy_closure_flow__inlet_cp,0,4.62962962962963,8.333333333333334,2.897196261682211,915.7164416753205,8237214.73790677,-83015.05922714341,-0.010078049664666031,-712455.7852355421
energy_closure_flow__inlet_cp,1,8.333333333333334,12.037037037037036,2.5233644859813467,865.1799238490827,7919556.6977343615,-56816.61959211156,-0.00717421716399426,-718593.1542821595
energy_closure_flow__inlet_cp,2,12.037037037037036,17.59259259259259,2.990654205607484,1218.330633437176,11394632.69220055,94558.43801592663,0.008298506899713443,-772727.347906164
energy_closure_flow__inlet_cp,3,17.59259259259259,25.925925925925927,4.018691588785032,1685.3619937694714,16167728.44728198,-186562.86573165096,-0.01153921321353061,-694685.58732648
energy_closure_flow__inlet_cp,4,25.925925925925927,39.81481481481482,4.018691588785032,2517.529595015577,25179925.838189494,162697.2368897386,0.006461386659168849,-781594.4965834307
energy_closure_flow__inlet_cp,5,39.81481481481482,58.333333333333336,2.897196261682211,2996.719972308758,31546795.22912985,17623.81730319932,0.0005586563444937743,-747192.4297153704
energy_closure_flow__inlet_cp,6,58.333333333333336,76.85185185185185,1.1214953271028207,2787.304949809622,30369269.735387303,155326.62059027702,0.005114598472194581,-879608.9402209168
energy_closure_flow__inlet_cp,7,76.85185185185185,100.0,0.6542056074766833,3358.655244029078,37311209.71629496,-12903.631186626852,-0.0003458379206877186,-721385.2482378916
energy_closure_flow__inlet_cp,8,100.0,123.14814814814815,0.09345794392515927,3302.407407407409,37037366.5782153,43755.623414509,0.0011813913206303727,-1209294.5407301707
energy_closure_flow__inlet_cp,9,123.14814814814815,150.92592592592592,0.18691588785054591,3940.822429906542,44321610.481722504,-127910.19993516058,-0.0028859555991971146,-56789.800541785684
energy_closure_flow__inlet_cp,10,150.92592592592592,187.96296296296296,0.0,5240.584285219802,58985943.387064815,-32065.641911126673,-0.000543614971124772,
energy_closure_flow__integral_enthalpy,0,4.62962962962963,8.333333333333334,2.897196261682211,915.7164416753205,8581755.400189055,-105845.7988288533,-0.012333816788406895,-691028.5944348581
energy_closure_flow__integral_enthalpy,1,8.333333333333334,12.037037037037036,2.5233644859813467,865.1799238490827,8234672.045105717,-70874.80100904033,-0.008606875977673551,-699475.0457932305
energy_closure_flow__integral_enthalpy,2,12.037037037037036,17.59259259259259,2.990654205607484,1218.330633437176,11824906.200494979,80605.28894133121,0.006816568992146183,-754514.8604236076
energy_closure_flow__integral_enthalpy,3,17.59259259259259,25.925925925925927,4.018691588785032,1685.3619937694714,16737489.251738751,-182016.09886782058,-0.010874755235401396,-682270.0888434848
energy_closure_flow__integral_enthalpy,4,25.925925925925927,39.81481481481482,4.018691588785032,2517.529595015577,25995383.68093007,178237.376113832,0.006856501073480403,-771914.5581993846
energy_closure_flow__integral_enthalpy,5,39.81481481481482,58.333333333333336,2.897196261682211,2996.719972308758,32491749.51297216,36285.78610453755,0.0011167692306026991,-740086.915686062
energy_closure_flow__integral_enthalpy,6,58.333333333333336,76.85185185185185,1.1214953271028207,2787.304949809622,31236434.27818038,163126.92574169114,0.005222328652782254,-873017.309053523
energy_closure_flow__integral_enthalpy,7,76.85185185185185,100.0,0.6542056074766833,3358.655244029078,38354043.46231852,-10864.151380211115,-0.00028325960966500853,-710955.8355383844
energy_closure_flow__integral_enthalpy,8,100.0,123.14814814814815,0.09345794392515927,3302.407407407409,38063148.83023373,37899.99570606649,0.0009957136198874422,-1133092.4209891001
energy_closure_flow__integral_enthalpy,9,123.14814814814815,150.92592592592592,0.18691588785054591,3940.822429906542,45544957.55927833,-133139.09547396004,-0.0029232455711628432,-15268.306148471222
energy_closure_flow__integral_enthalpy,10,150.92592592592592,187.96296296296296,0.0,5240.584285219802,60610332.75238452,-39944.42670161277,-0.0006590365848146789,
