row_id,branch_id,kappa_kg_m2,technology_maturity,flow_case,m_dot_NaK_kg_s,epsilon_case,epsilon,sink_case,T_sink_K,h_case,h_W_m2K,Q_NaK_W,Twall_K,A_exchange_m2,A_rad_m2,UA_W_K,M_rad_kg,mass_margin_kg,exchange_residual_W,radiation_residual_W,condition_status,evidence_status_per_input,rejection_reasons
T300_fd1p45_one__energy_closure_flow__NASA_surface_0p90__legacy_project__legacy_inverse,T300_fd1p45_one,4.22,tested,energy_closure_flow,7.134146337,NASA_surface_0p90,0.9,legacy_project,225.0,legacy_inverse,9.755,1622000.000053536,416.1699155135301,1158.588067452469,1158.588067452469,11302.026597998836,4889.241644649419,-239.24164464941896,0.0,9.313225746154785e-10,rejected,tested|conditional|other_system_anchor|project_boundary|conditional_inverse,"[""mass_above_4650_kg""]"
T300_fd1p45_one__energy_closure_flow__NASA_surface_0p90__legacy_project__NASA_120_low,T300_fd1p45_one,4.22,tested,energy_closure_flow,7.134146337,NASA_surface_0p90,0.9,legacy_project,225.0,NASA_120_low,200.0,1622000.000053536,538.8298206614115,388.8908725965037,388.8908725965037,77778.17451930074,1641.1194823572455,3008.8805176427545,0.0,6.51925802230835e-09,not_rejected_under_necessary_conditions,tested|conditional|other_system_anchor|project_boundary|other_system_anchor,[]
T300_fd1p45_one__energy_closure_flow__NASA_surface_0p90__legacy_project__NASA_120_high,T300_fd1p45_one,4.22,tested,energy_closure_flow,7.134146337,NASA_surface_0p90,0.9,legacy_project,225.0,NASA_120_high,600.0,1622000.000053536,552.0052465589806,352.0536704540487,352.0536704540487,211232.20227242922,1485.6664893160855,3164.3335106839145,0.0,2.468004822731018e-08,not_rejected_under_necessary_conditions,tested|conditional|other_system_anchor|project_boundary|other_system_anchor,[]
T300_fd1p45_two__project_flow__NASA_surface_0p85__NASA_120_example__legacy_inverse,T300_fd1p45_two,2.11,tested,project_flow,6.95,NASA_surface_0p85,0.85,NASA_120_example,200.0,legacy_inverse,9.755,1580132.9924937414,417.49260831144943,1139.1818644271973,1139.1818644271973,11112.71908748731,2403.673733941386,2246.326266058614,0.0,-1.862645149230957e-09,not_rejected_under_necessary_conditions,tested|project_boundary|other_system_anchor|other_system_anchor|conditional_inverse,[]
T300_fd1p45_two__project_flow__NASA_surface_0p85__NASA_120_example__NASA_120_low,T300_fd1p45_two,2.11,tested,project_flow,6.95,NASA_surface_0p85,0.85,NASA_120_example,200.0,NASA_120_low,200.0,1580132.9924937414,539.634708369718,394.06205007940076,394.06205007940076,78812.41001588016,831.4709256675355,3818.5290743324645,0.0,1.1641532182693481e-09,not_rejected_under_necessary_conditions,tested|project_boundary|other_system_anchor|other_system_anchor|other_system_anchor,[]
T300_fd1p45_two__project_flow__NASA_surface_0p85__NASA_120_example__NASA_120_high,T300_fd1p45_two,2.11,tested,project_flow,6.95,NASA_surface_0p85,0.85,NASA_120_example,200.0,NASA_120_high,600.0,1580132.9924937414,552.3365774998585,358.43249621739307,358.43249621739307,215059.49773043583,756.2925670186993,3893.707432981301,-2.3283064365386963e-10,9.313225746154785e-10,not_rejected_under_necessary_conditions,tested|project_boundary|other_system_anchor|other_system_anchor|other_system_anchor,[]
T300_fd1p45_two__project_flow__NASA_surface_0p85__legacy_project__legacy_inverse,T300_fd1p45_two,2.11,tested,project_flow,6.95,NASA_surface_0p85,0.85,legacy_project,225.0,legacy_inverse,9.755,1580132.9924937414,419.43579521383174,1154.9656192478844,1154.9656192478844,11266.689615763113,2436.977456613036,2213.022543386964,0.0,0.0,not_rejected_under_necessary_conditions,tested|project_boundary|other_system_anchor|project_boundary|conditional_inverse,[]
T300_fd1p45_two__project_flow__NASA_surface_0p85__legacy_project__NASA_120_low,T300_fd1p45_two,2.11,tested,project_flow,6.95,NASA_surface_0p85,0.85,legacy_project,225.0,NASA_120_low,200.0,1580132.9924937414,539.8362030850687,398.06256565055344,398.06256565055344,79612.51313011069,839.9120135226677,3810.0879864773324,0.0,-1.0477378964424133e-08,not_rejected_under_necessary_conditions,tested|project_boundary|other_system_anchor|project_boundary|other_system_anchor,[]
T300_fd1p45_two__project_flow__NASA_surface_0p85__legacy_project__NASA_120_high,T300_fd1p45_two,2.11,tested,project_flow,6.95,NASA_surface_0p85,0.85,legacy_project,225.0,NASA_120_high,600.0,1580132.9924937414,552.4099485533318,362.04789130214436,362.04789130214436,217228.73478128662,763.9210506475246,3886.0789493524753,0.0,1.979060471057892e-08,not_rejected_under_necessary_conditions,tested|project_boundary|other_system_anchor|project_boundary|other_system_anchor,[]
T300_fd1p45_two__project_flow__NASA_surface_0p90__NASA_120_example__legacy_inverse,T300_fd1p45_two,2.11,tested,project_flow,6.95,NASA_surface_0p90,0.9,NASA_120_example,200.0,legacy_inverse,9.755,1580132.9924937414,414.152930192638,1113.0396753330726,1113.0396753330726,10857.702032874124,2348.513714952783,2301.486285047217,0.0,-4.656612873077393e-10,not_rejected_under_necessary_conditions,tested|project_boundary|other_system_anchor|other_system_anchor|conditional_inverse,[]
